Fecha_hoy,ing_hab,cto_noc,ADR,num_men,num_adu,TREVPEC,count_rows
2022-03-20,5863216.308660452,3520.0,3708423.8785615102,2172.0,7186.0,3648640.3163204384,2066
2022-03-21,5101809.791748209,3024.0,3313736.58275249,2062.0,6064.0,3254974.780013067,1846
2022-03-22,4927689.196686349,2980.0,3185230.570137099,2132.0,6032.0,3099189.2268095743,1810
2022-03-23,4868942.229933288,2914.0,3182660.768144351,2030.0,5868.0,3116394.9936532867,1818
2022-03-24,4957742.40954727,3020.0,3315195.8994850055,1996.0,6098.0,3274410.8601285014,1924
2022-03-25,5010809.180488507,3236.0,3261834.382502798,2010.0,6558.0,3213699.828092379,1946
2022-03-26,4998081.479936765,3272.0,3246497.582228998,1960.0,6608.0,3213114.4021470286,1958
2022-03-27,4571004.581248603,3034.0,2934981.290260056,2026.0,6056.0,2938482.5450191866,1806
2022-03-28,4656892.883898704,3078.0,2887625.798804003,2208.0,6142.0,2866337.6697892826,1782
2022-03-29,4467834.714887093,2968.0,2845992.789254163,2100.0,5918.0,2829775.2821586453,1780
2022-03-30,4230997.7607714385,2760.0,2848343.0708713615,1980.0,5488.0,2826267.526300002,1724
2022-03-31,4201951.162775733,2682.0,2868952.0964576127,1844.0,5320.0,2847310.457161928,1710
2022-04-01,4816480.839615836,3198.0,3208979.6244294723,2232.0,6426.0,3179725.757934243,1968
2022-04-02,4971131.0249329405,3362.0,3335414.622495598,2234.0,6784.0,3299569.678570123,2034
2022-04-03,4395612.854362813,2920.0,3063372.439781192,1918.0,5826.0,3071100.748623629,1880
2022-04-04,4448380.32004487,3004.0,3104579.527094309,2066.0,5942.0,3108307.3549652807,1890
2022-04-05,4257513.523944954,2946.0,2945188.8827542937,2030.0,5798.0,2956943.842907569,1870
2022-04-06,4312314.882837878,2958.0,2962295.9200401665,2024.0,5874.0,2959659.0903164227,1866
2022-04-07,4361028.369806759,2932.0,2958430.51755996,1908.0,5874.0,2950454.377155594,1850
2022-04-08,4629876.49164353,3074.0,3092376.9323648005,1966.0,6302.0,3071031.6911398084,1894
2022-04-09,5216479.438984225,3332.0,3438786.717299394,2170.0,6870.0,3371590.068072342,2016
